"regione","Età","Maschicelibi","Maschiconiugati","Maschidivorziati","Maschivedovi","TotaleMaschi","Femminenubili","Femmineconiugate","Femminedivorziate","Femminevedove","TotaleFemmine"
    Piemonte,Totale,961689,1037848,67357,62509,2129403,809839,1052873,96774,303637,2263123
    ValledAosta,Totale,30565,27466,2316,1629,61976,25981,27505,3183,8238,64907
    Lombardia,Totale,2325702,2326127,123952,118582,4894363,1993086,2354127,176807,600783,5124803
    TrentinoAltoAdige,Totale,270190,227847,14066,10495,522598,235864,229418,18640,56340,540262
    Veneto,Totale,1120357,1160940,57666,55604,2394567,960361,1175062,78773,298766,2512962
    FriuliVeneziaGiulia,Totale,268181,284558,20210,16802,589751,222707,288104,28045,89265,628121
    Liguria,Totale,334317,359828,27658,24549,746352,290172,366777,39500,122506,818955
    EmiliaRomagna,Totale,1023234,1011556,62211,60285,2157286,893827,1025469,88598,283661,2291555
    Toscana,Totale,824989,875839,49846,52210,1802884,726340,890705,72094,250414,1939553
    Umbria,Totale,191686,214378,8918,11977,426959,169452,217119,13381,61997,461949
    Marche,Totale,343304,368041,15148,18993,745486,293177,373067,21255,105070,792569
    Lazio,Totale,1352807,1358535,66050,69484,2846876,1214000,1386278,111590,339380,3051248
    Abruzzo,Totale,289180,326808,11215,16495,643698,245399,328783,15878,88489,678549
    Molise,Totale,68757,77636,1989,4395,152777,56440,76790,2619,21823,157672
    Campania,Totale,1332996,1414011,27102,69130,2843239,1190010,1439647,48064,318124,2995845
    Puglia,Totale,882357,1018982,23583,49235,1974157,798074,1028789,36194,226674,2089731
    Basilicata,Totale,126550,142327,3437,7862,280176,106513,141499,4671,37506,290189
    Calabria,Totale,445585,483425,9793,23535,962338,381021,485468,15167,121134,1002790
    Sicilia,Totale,1126909,1243950,30389,58200,2459448,995498,1249199,48221,304275,2597193
    Sardegna,Totale,397525,379494,15721,18667,811407,343246,380381,20088,98013,841728